MPXV-UK_P2-001	J1L	001-chemokine-binding-protein	Chemokine binding protein (Cop-C23L); J1L; similar to Vaccinia virus strain Copenhagen C23L; most abundant secreted protein; CC-chemokine binding 
	NP_536600-B12R-[Monkeypox-virus-Zaire-96-I-16]	99.42(%id)	100.0(%cover)
	YP_010085859-putative-B14R-protein-[Orthopoxvirus-Abatino]	96.22(%id)	100.0(%cover)
	NP_570581-CMLV191-[Camelpox-virus]	95.64(%id)	100.0(%cover)
	YP_717508-SPI-2/CrmA-IL-1-convertase-[Taterapox-virus]	95.06(%id)	100.0(%cover)
	YP_233077-SPI-2/CrmA-inhibits-Fas-mediated-apoptosis,-IL-1-convertase,-lipoxygenase-pathway-[Vaccinia-virus]	94.19(%id)	100.0(%cover)
	NP_042225-hypothetical-protein-VARVgp181-[Variola-virus]	93.60(%id)	100.0(%cover)
	NP_671680-serpin-C7R-[Ectromelia-virus]	93.60(%id)	100.0(%cover)
	YP_010085650-serpin-[Akhmeta-virus]	92.44(%id)	100.0(%cover)
	NP_619988-CrmA-or-CPXV207-protein-[Cowpox-virus]	90.99(%id)	100.0(%cover)
MPXV-UK_P2-174	B13R	174-B13R	Hypothetical protein (Cop-C16L); B13R; similar to Vaccinia virus strain Copenhagen B15R 
	NP_536601-B13R-[Monkeypox-virus-Zaire-96-I-16]	98.66(%id)	100.0(%cover)
	NP_042226-hypothetical-protein-VARVgp182-[Variola-virus]	94.63(%id)	100.0(%cover)
	NP_570582-CMLV192-[Camelpox-virus]	93.96(%id)	100.0(%cover)
	YP_010085860-putative-B15R-protein-[Orthopoxvirus-Abatino]	93.29(%id)	100.0(%cover)
	NP_671681-C8R-[Ectromelia-virus]	93.29(%id)	100.0(%cover)
	YP_010085651-hypothetical-protein-KM542_gp203-[Akhmeta-virus]	93.29(%id)	100.0(%cover)
	YP_233078-hypothetical-protein-VACWR196-[Vaccinia-virus]	93.96(%id)	100.0(%cover)
	YP_717509-hypothetical-protein-TATV_DAH68_202-[Taterapox-virus]	93.96(%id)	100.0(%cover)
	NP_619989-CPXV208-protein-[Cowpox-virus]	93.29(%id)	100.0(%cover)
MPXV-UK_P2-175	B14R	175-IL-beta-binding-protein	IL-1 beta receptor (Cop-B16R); B14R; similar to Vaccinia virus strain Copenhagen B16R; secreted IL-1b binding protein; inhibition of virus infection induced fever 
	NP_536602-IL-beta-binding-protein-[Monkeypox-virus-Zaire-96-I-16]	90.40(%id)	98.3(%cover)
MPXV-UK_P2-177	B16R	177-B16R	IFN-alpha/beta receptor glycoprotein (Cop-B19R); B16R; similar to Vaccinia virus strain Copenhagen B19R; cell surface antigen and secreted IFN-a 
	NP_536604-B16R-[Monkeypox-virus-Zaire-96-I-16]	99.72(%id)	100.0(%cover)
	YP_233082-IFN-alpha/beta-receptor-like-secreted-glycoprotein-[Vaccinia-virus]	93.73(%id)	100.0(%cover)
	NP_619993-CPXV212-protein-[Cowpox-virus]	92.00(%id)	99.7(%cover)
MPXV-UK_P2-178	B17R	178-B17R	Ankyrin (Cop-B20R); B17R; ankyrin-like 
	NP_536605-B17R-[Monkeypox-virus-Zaire-96-I-16]	98.49(%id)	100.0(%cover)
	YP_010085865-putative-B20R-protein-[Orthopoxvirus-Abatino]	91.60(%id)	100.0(%cover)
MPXV-UK_P2-180	B19R	180-B19R	Serpin 1,2,3 (Cop-K2L); B19R; serine protease inhibitor-like, SPI-1; apoptosis inhibition 
	NP_536607-B19R-[Monkeypox-virus-Zaire-96-I-16]	98.88(%id)	100.0(%cover)
	YP_233087-serine-protease-inhibitor-like-SPI-1-[Vaccinia-virus]	96.36(%id)	100.0(%cover)
	NP_671687-serpin-C14R-[Ectromelia-virus]	94.12(%id)	100.0(%cover)
	YP_717524-SPI-1-serine-protease-inhibitor-like-protein-[Taterapox-virus]	94.12(%id)	100.0(%cover)
	YP_010085867-putative-C12L-protein-[Orthopoxvirus-Abatino]	93.84(%id)	100.0(%cover)
	NP_570595-CMLV205-[Camelpox-virus]	93.28(%id)	100.0(%cover)
	NP_619997-CPXV217-protein-[Cowpox-virus]	93.00(%id)	100.0(%cover)
	NP_042237-hypothetical-protein-VARVgp193-[Variola-virus]	93.00(%id)	100.0(%cover)
MPXV-UK_P2-181	B20R	181-uncharacterized-protein-MPXVgp181	Hypothetical protein (Cop-C14L); B20R 
	NP_536608-uncharacterized-protein-MPXVgp181-[Monkeypox-virus-Zaire-96-I-16]	98.95(%id)	100.0(%cover)
	YP_233088-hypothetical-protein-VACWR206-[Vaccinia-virus]	95.79(%id)	100.0(%cover)
	YP_010085868-putative-C14L-protein-[Orthopoxvirus-Abatino]	94.76(%id)	100.0(%cover)
	YP_717525-uncharacterized-protein-TATV_DAH68_218-[Taterapox-virus]	90.10(%id)	100.0(%cover)
MPXV-UK_P2-182	B21R	182-B21R	Surface glycoprotein; B21R; putative membrane-associated glycoprotein; cadherin-like domain 
	NP_536609-B21R-[Monkeypox-virus-Zaire-96-I-16]	98.83(%id)	100.0(%cover)
MPXV-UK_P2-184	N1R	184-hypothetical-protein-MPXVgp185	Hypothetical protein (Cop-C16L); N1R; similar to Vaccinia virus strain Copenhagen B22R; VAC B15R-like 
	NP_536612-hypothetical-protein-MPXVgp185-[Monkeypox-virus-Zaire-96-I-16]	98.69(%id)	100.0(%cover)
	NP_570395-hypothetical-protein-CamMLVgp005-[Camelpox-virus]	94.77(%id)	100.0(%cover)
	YP_010085669-putative-C16L-protein-[Orthopoxvirus-Abatino]	92.81(%id)	100.0(%cover)
	NP_042045-hypothetical-protein-VARVgp001-[Variola-virus]	92.81(%id)	100.0(%cover)
	YP_010085454-ankyrin-containing-protein-[Akhmeta-virus]	91.50(%id)	100.0(%cover)
	YP_010085663-hypothetical-protein-KM542_gp215-[Akhmeta-virus]	91.50(%id)	100.0(%cover)
MPXV-UK_P2-185	unknown3	185	MPV-Z-N2R;unknown3 
MPXV-UK_P2-187	N4R	187-ankyrin-like-protein	Ankyrin (CPXV-017); N4R; ankyrin-like 
	NP_536431-ankyrin-like-protein-[Monkeypox-virus-Zaire-96-I-16]	99.31(%id)	100.0(%cover)
	NP_536615-ankyrin-like-protein-[Monkeypox-virus-Zaire-96-I-16]	99.31(%id)	100.0(%cover)
	YP_010085678-hypothetical-protein-KM543_gp010-[Orthopoxvirus-Abatino]	92.68(%id)	100.0(%cover)
	NP_619806-CPXV017-protein-[Cowpox-virus]	90.62(%id)	100.0(%cover)
MPXV-UK_P2-188	J1R	188-ankyrin-like-protein	Ankyrin (Cop-C19L); J1R; ankyrin-like 
	NP_536430-J3L-[Monkeypox-virus-Zaire-96-I-16]	99.49(%id)	99.7(%cover)
	NP_536616-J1R-[Monkeypox-virus-Zaire-96-I-16]	99.49(%id)	99.7(%cover)
	YP_010085874-putative-C19L-protein-[Orthopoxvirus-Abatino]	92.86(%id)	100.0(%cover)
	NP_671690-K1R-[Ectromelia-virus]	93.53(%id)	99.8(%cover)
	NP_671520-EVM002-[Ectromelia-virus]	93.53(%id)	99.8(%cover)
	YP_717313-ankyrin-like-protein-[Taterapox-virus]	91.67(%id)	100.0(%cover)
	YP_717527-ankyrin-like-protein-[Taterapox-virus]	91.67(%id)	100.0(%cover)
	NP_570599-CMLV209-[Camelpox-virus]	91.16(%id)	100.0(%cover)
	NP_570393-CMLV003-[Camelpox-virus]	91.16(%id)	100.0(%cover)
MPXV-UK_P2-189	J2R	189-TNF-receptor	TNF receptor (CrmB) (Cop-C22L); J2R; secreted TNF binding protein 
	NP_536429-J2L-[Monkeypox-virus-Zaire-96-I-16]	98.85(%id)	100.0(%cover)
	NP_536617-J2R-[Monkeypox-virus-Zaire-96-I-16]	98.85(%id)	100.0(%cover)
	YP_010085875-putative-C22L-protein-[Orthopoxvirus-Abatino]	95.13(%id)	100.0(%cover)
	YP_010085450-TNF-receptor-[Akhmeta-virus]	91.12(%id)	100.0(%cover)
	YP_010085667-TNF-receptor-[Akhmeta-virus]	91.12(%id)	100.0(%cover)
MPXV-UK_P2-190	J3R	190-chemokine-binding-protein	Chemokine binding protein (Cop-C23L); J3R; similar to Vaccinia virus strain Copenhagen B29R; CC-chemokine binding 
	NP_536428-chemokine-binding-protein-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	NP_536618-chemokine-binding-protein-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
